Id,Label
6001,3
6002,4
6003,6
6004,6
6005,4
6006,3
6007,3
6008,6
6009,3
6010,3
6011,4
6012,6
6013,8
6014,4
6015,6
6016,6
6017,3
6018,0
6019,8
6020,6
6021,6
6022,4
6023,0
6024,4
6025,8
6026,3
6027,3
6028,0
6029,8
6030,4
6031,3
6032,2
6033,4
6034,4
6035,4
6036,4
6037,4
6038,6
6039,9
6040,4
6041,2
6042,4
6043,0
6044,3
6045,2
6046,4
6047,8
6048,6
6049,4
6050,1
6051,0
6052,3
6053,0
6054,3
6055,1
6056,4
6057,8
6058,4
6059,3
6060,9
6061,9
6062,3
6063,6
6064,0
6065,3
6066,8
6067,4
6068,0
6069,3
6070,8
6071,0
6072,8
6073,4
6074,4
6075,2
6076,4
6077,1
6078,4
6079,9
6080,3
6081,4
6082,6
6083,1
6084,4
6085,3
6086,1
6087,1
6088,3
6089,8
6090,3
6091,9
6092,8
6093,4
6094,8
6095,4
6096,6
6097,4
6098,4
6099,6
6100,6
6101,3
6102,6
6103,4
6104,2
6105,4
6106,2
6107,4
6108,2
6109,4
6110,3
6111,8
6112,6
6113,6
6114,6
6115,0
6116,3
6117,8
6118,4
6119,4
6120,3
6121,3
6122,6
6123,8
6124,3
6125,3
6126,6
6127,4
6128,3
6129,3
6130,8
6131,8
6132,0
6133,6
6134,3
6135,3
6136,3
6137,4
6138,9
6139,9
6140,3
6141,4
6142,2
6143,6
6144,0
6145,9
6146,4
6147,4
6148,8
6149,4
6150,3
6151,2
6152,8
6153,3
6154,4
6155,3
6156,1
6157,4
6158,6
6159,2
6160,8
6161,2
6162,8
6163,3
6164,0
6165,3
6166,6
6167,3
6168,3
6169,3
6170,3
6171,3
6172,1
6173,8
6174,2
6175,2
6176,0
6177,6
6178,3
6179,6
6180,8
6181,3
6182,3
6183,3
6184,4
6185,8
6186,2
6187,2
6188,8
6189,9
6190,8
6191,4
6192,9
6193,6
6194,6
6195,6
6196,0
6197,4
6198,4
6199,6
6200,8
6201,4
6202,2
6203,1
6204,3
6205,8
6206,9
6207,4
6208,8
6209,4
6210,6
6211,3
6212,4
6213,8
6214,4
6215,8
6216,6
6217,4
6218,9
6219,9
6220,4
6221,4
6222,0
6223,3
6224,9
6225,4
6226,2
6227,8
6228,9
6229,4
6230,3
6231,0
6232,2
6233,8
6234,8
6235,3
6236,4
6237,0
6238,3
6239,0
6240,3
6241,9
6242,3
6243,0
6244,0
6245,4
6246,0
6247,3
6248,2
6249,2
6250,1
6251,9
6252,9
6253,1
6254,6
6255,2
6256,9
6257,8
6258,3
6259,3
6260,3
6261,3
6262,3
6263,1
6264,2
6265,4
6266,2
6267,6
6268,1
6269,0
6270,8
6271,9
6272,4
6273,6
6274,4
6275,2
6276,4
6277,4
6278,3
6279,0
6280,1
6281,3
6282,6
6283,2
6284,1
6285,0
6286,3
6287,8
6288,4
6289,1
6290,3
6291,8
6292,6
6293,9
6294,2
6295,4
6296,4
6297,4
6298,9
6299,3
6300,1
6301,6
6302,1
6303,6
6304,4
6305,3
6306,3
6307,4
6308,8
6309,1
6310,4
6311,6
6312,4
6313,0
6314,2
6315,4
6316,0
6317,3
6318,3
6319,1
6320,3
6321,1
6322,4
6323,0
6324,9
6325,1
6326,4
6327,1
6328,4
6329,3
6330,3
6331,4
6332,2
6333,1
6334,9
6335,4
6336,9
6337,0
6338,3
6339,0
6340,3
6341,9
6342,9
6343,3
6344,1
6345,4
6346,2
6347,8
6348,4
6349,4
6350,3
6351,2
6352,3
6353,3
6354,2
6355,3
6356,6
6357,6
6358,4
6359,6
6360,1
6361,2
6362,3
6363,4
6364,3
6365,3
6366,9
6367,3
6368,3
6369,3
6370,1
6371,3
6372,6
6373,0
6374,1
6375,6
6376,3
6377,3
6378,3
6379,3
6380,1
6381,6
6382,1
6383,8
6384,6
6385,2
6386,4
6387,3
6388,3
6389,9
6390,6
6391,8
6392,3
6393,9
6394,4
6395,3
6396,4
6397,4
6398,4
6399,2
6400,3
6401,3
6402,4
6403,8
6404,2
6405,9
6406,4
6407,3
6408,0
6409,6
6410,4
6411,2
6412,3
6413,3
6414,8
6415,9
6416,2
6417,3
6418,3
6419,0
6420,3
6421,3
6422,3
6423,1
6424,0
6425,9
6426,4
6427,2
6428,2
6429,0
6430,8
6431,4
6432,4
6433,0
6434,9
6435,9
6436,9
6437,3
6438,6
6439,4
6440,8
6441,8
6442,0
6443,4
6444,9
6445,4
6446,3
6447,4
6448,8
6449,6
6450,9
6451,1
6452,3
6453,3
6454,4
6455,1
6456,0
6457,9
6458,8
6459,2
6460,4
6461,1
6462,3
6463,6
6464,3
6465,3
6466,3
6467,3
6468,6
6469,3
6470,2
6471,3
6472,9
6473,2
6474,1
6475,8
6476,3
6477,6
6478,3
6479,6
6480,3
6481,9
6482,6
6483,3
6484,6
6485,3
6486,1
6487,6
6488,3
6489,3
6490,0
6491,9
6492,8
6493,9
6494,0
6495,8
6496,3
6497,3
6498,1
6499,6
6500,4
6501,3
6502,8
6503,6
6504,8
6505,3
6506,3
6507,6
6508,3
6509,3
6510,0
6511,9
6512,1
6513,8
6514,4
6515,4
6516,6
6517,3
6518,9
6519,6
6520,4
6521,8
6522,8
6523,3
6524,3
6525,9
6526,0
6527,3
6528,4
6529,4
6530,3
6531,6
6532,6
6533,9
6534,1
6535,9
6536,0
6537,2
6538,8
6539,0
6540,3
6541,3
6542,4
6543,0
6544,3
6545,0
6546,1
6547,8
6548,3
6549,3
6550,4
6551,1
6552,3
6553,9
6554,4
6555,3
6556,6
6557,3
6558,6
6559,4
6560,8
6561,3
6562,9
6563,4
6564,1
6565,3
6566,4
6567,3
6568,3
6569,9
6570,6
6571,1
6572,4
6573,9
6574,8
6575,8
6576,4
6577,8
6578,3
6579,4
6580,4
6581,9
6582,9
6583,4
6584,8
6585,6
6586,1
6587,3
6588,3
6589,4
6590,4
6591,9
6592,1
6593,3
6594,6
6595,3
6596,2
6597,3
6598,3
6599,4
6600,3
6601,9
6602,0
6603,3
6604,3
6605,6
6606,3
6607,4
6608,4
6609,4
6610,8
6611,9
6612,4
6613,1
6614,6
6615,4
6616,4
6617,0
6618,4
6619,4
6620,2
6621,3
6622,4
6623,3
6624,8
6625,3
6626,6
6627,0
6628,0
6629,3
6630,4
6631,2
6632,4
6633,9
6634,3
6635,2
6636,2
6637,3
6638,3
6639,1
6640,3
6641,4
6642,3
6643,4
6644,4
6645,2
6646,0
6647,6
6648,6
6649,3
6650,8
6651,0
6652,4
6653,8
6654,4
6655,3
6656,1
6657,6
6658,6
6659,4
6660,3
6661,6
6662,4
6663,3
6664,3
6665,0
6666,4
6667,4
6668,2
6669,0
6670,3
6671,2
6672,3
6673,2
6674,4
6675,4
6676,2
6677,3
6678,3
6679,2
6680,9
6681,8
6682,9
6683,3
6684,1
6685,4
6686,2
6687,9
6688,4
6689,3
6690,2
6691,4
6692,4
6693,2
6694,6
6695,6
6696,2
6697,1
6698,4
6699,9
6700,3
6701,1
6702,3
6703,1
6704,4
6705,6
6706,3
6707,3
6708,3
6709,2
6710,4
6711,3
6712,4
6713,3
6714,0
6715,6
6716,3
6717,9
6718,0
6719,0
6720,2
6721,2
6722,9
6723,4
6724,3
6725,8
6726,1
6727,4
6728,0
6729,3
6730,9
6731,4
6732,3
6733,3
6734,8
6735,1
6736,0
6737,2
6738,3
6739,3
6740,0
6741,6
6742,6
6743,9
6744,1
6745,3
6746,4
6747,2
6748,3
6749,3
6750,6
6751,3
6752,3
6753,2
6754,2
6755,2
6756,3
6757,9
6758,1
6759,0
6760,3
6761,8
6762,4
6763,1
