Id,Label
6001,9
6002,7
6003,0
6004,6
6005,7
6006,1
6007,6
6008,6
6009,3
6010,3
6011,2
6012,6
6013,5
6014,9
6015,6
6016,6
6017,0
6018,0
6019,8
6020,6
6021,7
6022,7
6023,0
6024,7
6025,5
6026,3
6027,1
6028,0
6029,8
6030,7
6031,3
6032,2
6033,9
6034,7
6035,7
6036,1
6037,7
6038,6
6039,7
6040,7
6041,2
6042,7
6043,0
6044,1
6045,2
6046,9
6047,8
6048,6
6049,3
6050,1
6051,0
6052,3
6053,0
6054,5
6055,1
6056,9
6057,8
6058,9
6059,5
6060,5
6061,4
6062,1
6063,6
6064,0
6065,3
6066,5
6067,1
6068,0
6069,9
6070,5
6071,0
6072,8
6073,7
6074,9
6075,2
6076,7
6077,1
6078,4
6079,0
6080,3
6081,1
6082,6
6083,1
6084,9
6085,8
6086,1
6087,1
6088,1
6089,8
6090,5
6091,7
6092,3
6093,7
6094,8
6095,4
6096,6
6097,4
6098,7
6099,6
6100,6
6101,1
6102,6
6103,4
6104,2
6105,9
6106,2
6107,7
6108,3
6109,5
6110,8
6111,8
6112,6
6113,6
6114,6
6115,0
6116,1
6117,3
6118,7
6119,9
6120,3
6121,9
6122,6
6123,8
6124,1
6125,0
6126,6
6127,7
6128,8
6129,8
6130,5
6131,0
6132,0
6133,6
6134,5
6135,3
6136,3
6137,2
6138,5
6139,7
6140,2
6141,4
6142,2
6143,6
6144,0
6145,9
6146,7
6147,8
6148,3
6149,7
6150,1
6151,2
6152,8
6153,1
6154,4
6155,8
6156,1
6157,8
6158,6
6159,2
6160,8
6161,6
6162,8
6163,3
6164,0
6165,2
6166,6
6167,3
6168,8
6169,1
6170,0
6171,1
6172,1
6173,3
6174,2
6175,2
6176,0
6177,6
6178,1
6179,6
6180,8
6181,1
6182,5
6183,7
6184,4
6185,8
6186,1
6187,2
6188,8
6189,6
6190,3
6191,5
6192,9
6193,6
6194,6
6195,6
6196,0
6197,4
6198,7
6199,6
6200,8
6201,4
6202,2
6203,1
6204,3
6205,2
6206,8
6207,9
